NUMERO,CODCAJA,VENDEDOR,CODUSU,FECHA,HORA,DESTIC,HASTIC,DESFAC,HASFAC,EFECTIVO,TARJETA,EFECBANCO,TTIC,TFAC,TTICPEN,DESMOV,HASMOV,TENTRADA,TSALIDA,ANSALDO,SALDO,BASEIMP1,IVA1,IMPIVA1,BASEIMP2,IVA2,IMPIVA2,BASEIMP3,IVA3,IMPIVA3,BASEIMP4,IVA4,IMPIVA4,COMENSALES,IMRECUENTO,CONTABILIZ,year_file
1,001,1,2,2023-01-15,16:07:18,29155,29208,0,0,373.7,364.92,0,738.62,0,0,0,0,0,0,133015.6,133383.42,61.85,21.0,12.97,603.44,10.0,60.36,0,4.0,0,0,0.0,0,0,0,False,2023
2,001,1,2,2023-01-16,16:19:08,29209,29231,0,0,83.3,281.2,0,364.5,0,0,0,0,0,0,133389.3,133472.6,18.18,21.0,3.82,311.36,10.0,31.14,0,4.0,0,0,0.0,0,0,0,False,2023
3,001,1,2,2023-01-17,16:21:20,29232,29241,0,0,0,106.2,0,106.2,0,0,0,0,0,0,133472.6,133472.6,2.48,21.0,0.52,93.8,10.0,9.4,0,4.0,0,0,0.0,0,0,0,False,2023
4,001,1,2,2023-01-18,17:14:07,29242,29249,0,0,7.8,72.2,0,80,0,0,0,0,0,0,133472.6,133480.4,9.09,21.0,1.91,62.72,10.0,6.28,0,4.0,0,0,0.0,0,0,0,False,2023
5,001,1,2,2023-01-19,18:09:25,29250,29288,0,0,325.1,78.5,0,403.6,0,0,0,0,0,0,133480.4,133805.5,33.89,21.0,7.11,329.65,10.0,32.95,0,4.0,0,0,0.0,0,0,0,False,2023
6,001,1,2,2023-01-20,17:26:39,29289,29320,0,0,258.4,84.2,0,342.6,0,0,0,0,0,0,133805.5,134063.9,28.51,21.0,5.99,280.09,10.0,28.01,0,4.0,0,0,0.0,0,0,0,False,2023
7,001,1,2,2023-01-21,18:24:38,29321,29365,0,0,393.7,257.6,0,651.3,0,0,0,0,0,0,134063.9,134457.6,74.38,21.0,15.62,510.26,10.0,51.04,0,4.0,0,0,0.0,0,0,0,False,2023
8,001,1,2,2023-01-22,17:44:19,29366,29417,0,0,407.2,354.4,0,761.6,0,0,0,0,0,0,134457.6,134864.8,73.56,21.0,15.44,611.45,10.0,61.15,0,4.0,0,0,0.0,0,0,0,False,2023
9,001,1,2,2023-01-23,16:22:44,29418,29427,0,0,37.2,116.8,0,154,0,0,0,0,0,0,134864.8,134902,31.82,21.0,6.68,104.99,10.0,10.51,0,4.0,0,0,0.0,0,0,0,False,2023
10,001,1,2,2023-01-24,17:36:40,29428,29439,0,0,54.4,122.9,0,177.3,0,0,0,0,0,0,134902,134956.4,14.05,21.0,2.95,145.73,10.0,14.57,0,4.0,0,0,0.0,0,0,0,False,2023
11,001,1,2,2023-01-25,17:19:18,29440,29451,0,0,31,133.5,0,164.5,0,0,0,0,0,0,134956.4,134987.4,10.33,21.0,2.17,138.18,10.0,13.82,0,4.0,0,0,0.0,0,0,0,False,2023
12,001,1,2,2023-01-26,17:03:36,29452,29492,0,0,253.5,63.1,0,316.6,0,0,0,0,0,0,134987.4,135240.9,26.04,21.0,5.46,259.19,10.0,25.91,0,4.0,0,0,0.0,0,0,0,False,2023
13,001,1,2,2023-01-27,18:00:22,29493,29532,0,0,203.6,193.2,0,396.8,0,0,0,0,0,0,135240.9,135444.5,56.22,21.0,11.78,298.9,10.0,29.9,0,4.0,0,0,0.0,0,0,0,False,2023
14,001,1,2,2023-01-28,20:16:42,29533,29586,0,0,395.24,314.4,0,709.64,0,0,0,0,0,0,135444.5,135839.74,93.2,21.0,19.55,542.64,10.0,54.26,0,4.0,0,0,0.0,0,0,0,False,2023
15,001,1,2,2023-01-29,17:52:57,29587,29656,0,0,554.3,433,0,987.3,0,0,0,0,0,0,135839.74,136394.04,50.83,21.0,10.67,841.65,10.0,84.15,0,4.0,0,0,0.0,0,0,0,False,2023
16,001,1,2,2023-01-30,17:16:16,29657,29662,0,0,3.9,56.6,0,60.5,0,0,0,0,0,0,136394.04,136397.94,2.48,21.0,0.52,52.28,10.0,5.22,0,4.0,0,0,0.0,0,0,0,False,2023
17,001,1,2,2023-01-31,15:55:04,29663,29673,0,0,7.8,108.6,0,116.4,0,0,0,0,0,0,136397.94,136405.74,15.29,21.0,3.21,88.99,10.0,8.91,0,4.0,0,0,0.0,0,0,0,False,2023
18,001,1,2,2023-02-01,17:09:03,29674,29679,0,0,9.1,59.6,0,68.7,0,0,0,0,0,0,136405.74,136414.84,6.2,21.0,1.3,55.64,10.0,5.56,0,4.0,0,0,0.0,0,0,0,False,2023
19,001,1,2,2023-02-02,16:27:36,29680,29709,0,0,185.1,86.4,0,271.5,0,0,0,0,0,0,136414.84,136599.94,2.48,21.0,0.52,244.1,10.0,24.4,0,4.0,0,0,0.0,0,0,0,False,2023
20,001,1,2,2023-02-03,16:44:13,29710,29719,0,0,43.1,58.5,0,101.6,0,0,0,0,0,0,136599.94,136643.04,9.09,21.0,1.91,82.37,10.0,8.23,0,4.0,0,0,0.0,0,0,0,False,2023
21,001,1,2,2023-02-04,18:28:32,29720,29775,0,0,486,217.8,0,703.8,0,0,0,0,0,0,136643.04,137129.04,83.89,21.0,17.61,547.54,10.0,54.76,0,4.0,0,0,0.0,0,0,0,False,2023
22,001,1,2,2023-02-05,18:01:48,29776,29827,0,0,543.2,242.5,0,785.7,0,0,0,0,0,0,137129.04,137672.24,109.52,21.0,22.98,593.78,10.0,59.42,0,4.0,0,0,0.0,0,0,0,False,2023
23,001,1,2,2023-02-06,16:58:47,29828,29837,0,0,0,178.1,0,178.1,0,0,0,0,0,0,137672.24,137672.24,4.96,21.0,1.04,156.45,10.0,15.65,0,4.0,0,0,0.0,0,0,0,False,2023
24,001,1,2,2023-02-07,17:15:38,29838,29850,0,0,11.8,150.9,0,162.7,0,0,0,0,0,0,137672.24,137684.04,3.72,21.0,0.78,143.8,10.0,14.4,0,4.0,0,0,0.0,0,0,0,False,2023
25,001,1,2,2023-02-08,16:28:35,29851,29886,0,0,224.8,231.3,0,456.1,0,0,0,0,0,0,137684.04,137908.84,34.71,21.0,7.29,376.43,10.0,37.67,0,4.0,0,0,0.0,0,0,0,False,2023
