NUMTIC,CAJA,NUMCAJ,CAJLINEA,CODIGO,DESCRI,CANTIDAD,PRECIO,DTO,IVA,TOTLIN,COCINA,NOTAS,CANTSTOCK,TIPOLIN,CODCOMBI,COMCANSTK,CANCOCINA,year_file
1,001,00100000001,001000000000001,1,E. POLLO,3.0,1,0.0,10.0,3,,,0.0,,,1.0,,2020
2,001,00100000002,001000000000002,1,E. POLLO,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2020
3,001,00100000003,001000000000003,1,E. POLLO,8.0,1,0.0,10.0,8,,,0.0,,,1.0,,2020
4,001,00100000004,001000000000006,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
5,001,00100000005,001000000000007,1,E. POLLO,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2020
6,001,00100000006,001000000000010,2,E. queso,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
6,001,00100000006,001000000000011,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000013,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000014,2,E. queso,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000015,3,E. arroz,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000016,4,E. maiz,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000017,5,CUÑAPE,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000018,6,R.queso,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000019,7,Alfajores,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000020,8,Bizcocho,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
7,001,00100000007,001000000000021,9,Salteña,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2020
8,001,00100000008,001000000000026,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
8,001,00100000008,001000000000027,3,E. arroz,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
8,001,00100000008,001000000000028,6,R.queso,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
9,001,00100000009,001000000000029,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
10,001,00100000010,001000000000030,1,E. POLLO,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2020
11,001,00100000011,001000000000031,1,E. POLLO,15.0,1,0.0,10.0,15,,,0.0,,,1.0,,2020
12,001,00100000012,001000000000033,30,Asadito con yuca,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2020
13,001,00100000013,001000000000055,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
13,001,00100000013,001000000000056,2,E. queso,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
14,001,00100000014,001000000000061,5,Cuñape,6.0,1,0.0,10.0,6,,,0.0,,,1.0,,2020
14,001,00100000014,001000000000063,6,R.queso,6.0,1,0.0,10.0,6,,,0.0,,,1.0,,2020
14,001,00100000014,001000000000064,3,E. arroz,20.0,1,0.0,10.0,20,,,0.0,,,1.0,,2020
14,001,00100000014,001000000000065,1,E. POLLO,3.0,1,0.0,10.0,3,,,0.0,,,1.0,,2020
15,001,00100000015,001000000000071,138,bocadillo lo,1.0,3,0.0,10.0,3,,,0.0,,,1.0,,2020
15,001,00100000015,001000000000072,76,Quinto,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
16,001,00100000016,001000000000075,,bocadillo de lomo,1.0,3,,,3,,,,,,,,2020
16,001,00100000016,001000000000076,76,Quinto,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2020
17,001,00100000017,001000000000077,,Menú,1.0,3,,,3,,,,,,,,2020
18,001,00100000018,001000000000078,,Menú,1.0,10,,,10,,,,,,,,2020
19,001,00100000019,001000000000099,218,Bizcocho,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
19,001,00100000019,001000000000100,214,Helados,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
19,001,00100000019,001000000000101,215,Tartas,1.0,10,0.0,10.0,10,,,0.0,,,1.0,,2020
21,001,00100000021,001000000000170,1,E. POLLO,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2020
22,001,00100000022,001000000000183,30,Asadito yuca,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2020
22,001,00100000022,001000000000184,33,Fricase,1.0,4,0.0,10.0,4,,,0.0,,,1.0,,2020
22,001,00100000022,001000000000185,32,Sopa de Mani,2.0,4,0.0,10.0,8,,,0.0,,,1.0,,2020
23,001,00100000023,001000000000189,30,Asadito yuca,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2020
23,001,00100000023,001000000000190,31,Panza frita,1.0,3,0.0,10.0,3,,,0.0,,,1.0,,2020
23,001,00100000023,001000000000191,33,Fricase,1.0,4,0.0,10.0,4,,,0.0,,,1.0,,2020
24,001,00100000024,001000000000193,38,Meú,1.0,7,0.0,10.0,7,,,0.0,,,1.0,,2020
25,001,00100000025,001000000000194,171,solo,3.0,1,0.0,10.0,3,,,0.0,,,1.0,,2020
26,001,00100000026,001000000000195,139,Salpicon,1.0,3,0.0,10.0,3,,,0.0,,,1.0,,2020
26,001,00100000026,001000000000196,171,solo,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2020
27,001,00100000027,001000000000198,2,E. queso,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2020
27,001,00100000027,001000000000199,9,Salteña,2.0,1.5,0.0,10.0,3,,,0.0,,,1.0,,2020
27,001,00100000027,001000000000200,2,E. queso,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
28,001,00100000028,001000000000201,172,Cortado/Manchado,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2020
29,001,00100000029,001000000000202,38,Meú,1.0,7,0.0,10.0,7,,,0.0,,,1.0,,2020
