NUMTIC,CAJA,NUMCAJ,CAJLINEA,CODIGO,DESCRI,CANTIDAD,PRECIO,DTO,IVA,TOTLIN,COCINA,NOTAS,CANTSTOCK,TIPOLIN,CODCOMBI,COMCANSTK,CANCOCINA,year_file
29155,001,00100029155,001000000061388,305,Pan,10.0,1,0.0,10.0,10,,,0.0,,,1.0,,2023
29156,001,00100029156,001000000061390,172,Cortado/Manchado,3.0,1.2,0.0,10.0,3.6,,,0.0,,,1.0,,2023
29156,001,00100029156,001000000061391,305,Pan,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2023
29157,001,00100029157,001000000061393,34,Patasca,2.0,7,0.0,10.0,14,,,0.0,,,1.0,,2023
29157,001,00100029157,001000000061394,9,Salteña,2.0,2,0.0,10.0,4,,,0.0,,,1.0,,2023
29157,001,00100029157,001000000061395,53,Vaso R.,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29158,001,00100029158,001000000061396,305,Pan,8.0,1,0.0,10.0,8,,,0.0,,,1.0,,2023
29159,001,00100029159,001000000061398,305,Pan,7.0,1,0.0,10.0,7,,,0.0,,,1.0,,2023
29159,001,00100029159,001000000061399,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29157,001,00100029157,001000000061401,56,J. Mocochinchi,1.0,4,0.0,21.0,4,,,0.0,,,1.0,,2023
29157,001,00100029157,001000000061403,50,Agua p.,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29157,001,00100029157,001000000061405,9,Salteña,2.0,2,0.0,10.0,4,,,0.0,,,1.0,,2023
29157,001,00100029157,001000000061406,2,E. queso,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29160,001,00100029160,001000000061407,305,Pan,14.0,1,0.0,10.0,14,,,0.0,,,1.0,,2023
29161,001,00100029161,001000000061409,9,Salteña,3.0,2,0.0,10.0,6,,,0.0,,,1.0,,2023
29161,001,00100029161,001000000061410,21,B.fresa,1.0,3.5,0.0,10.0,3.5,,,0.0,,,1.0,,2023
29161,001,00100029161,001000000061411,025885,cafe con leche G,1.0,1.5,0.0,21.0,1.5,,,0.0,,,1.0,,2023
29161,001,00100029161,001000000061412,175,Belmonte,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2023
29161,001,00100029161,001000000061413,177,Colacao,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2023
29161,001,00100029161,001000000061414,2,E. queso,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29161,001,00100029161,001000000061415,025885,cafe con leche G,1.0,1.5,0.0,21.0,1.5,,,0.0,,,1.0,,2023
29162,001,00100029162,001000000061416,9,Salteña,5.0,2,0.0,10.0,10,,,0.0,,,1.0,,2023
29162,001,00100029162,001000000061417,1,E. POLLO,3.0,1.5,0.0,10.0,4.5,,,0.0,,,1.0,,2023
29157,001,00100029157,001000000061419,3,E. arroz,9.0,1.2,0.0,10.0,10.8,,,0.0,,,1.0,,2023
29163,001,00100029163,001000000061422,305,Pan,8.0,1,0.0,10.0,8,,,0.0,,,1.0,,2023
29163,001,00100029163,001000000061423,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29164,001,00100029164,001000000061425,305,Pan,6.0,1,0.0,10.0,6,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061429,025885,cafe con leche G,3.0,1.5,0.0,21.0,4.5,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061430,53,Vaso R.,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061431,9,Salteña,3.0,2,0.0,10.0,6,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061432,2,E. queso,3.0,1.2,0.0,10.0,3.6,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061433,1,E. POLLO,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061435,144,tapas 2€,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061437,9,Salteña,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061438,53,Vaso R.,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29166,001,00100029166,001000000061439,305,Pan,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2023
29166,001,00100029166,001000000061440,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29167,001,00100029167,001000000061442,025885,cafe con leche G,2.0,1.5,0.0,21.0,3,,,0.0,,,1.0,,2023
29167,001,00100029167,001000000061443,4,E. maiz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29167,001,00100029167,001000000061444,2,E. queso,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29167,001,00100029167,001000000061445,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061447,9,Salteña,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061449,1,E. POLLO,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2023
29167,001,00100029167,001000000061451,2,E. queso,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29168,001,00100029168,001000000061452,305,Pan,14.0,1,0.0,10.0,14,,,0.0,,,1.0,,2023
29168,001,00100029168,001000000061453,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29169,001,00100029169,001000000061455,174,Cafe Leche,2.0,1.3,0.0,10.0,2.6,,,0.0,,,1.0,,2023
29169,001,00100029169,001000000061456,2,E. queso,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061458,66666,TAPAS 4€,1.0,4,0.0,21.0,4,,,0.0,,,1.0,,2023
29165,001,00100029165,001000000061459,144,tapas 2€,2.0,2,0.0,10.0,4,,,0.0,,,1.0,,2023
29170,001,00100029170,001000000061461,305,Pan,10.0,1,0.0,10.0,10,,,0.0,,,1.0,,2023
29170,001,00100029170,001000000061462,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29171,001,00100029171,001000000061463,305,Pan,10.0,1,0.0,10.0,10,,,0.0,,,1.0,,2023
29172,001,00100029172,001000000061467,305,Pan,8.0,1,0.0,10.0,8,,,0.0,,,1.0,,2023
29173,001,00100029173,001000000061468,9,Salteña,22.0,2,0.0,10.0,44,,,0.0,,,1.0,,2023
29174,001,00100029174,001000000061470,305,Pan,10.0,1,0.0,10.0,10,,,0.0,,,1.0,,2023
29174,001,00100029174,001000000061471,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29175,001,00100029175,001000000061474,2,E. queso,2.0,1.2,0.0,10.0,2.4,,,0.0,,,1.0,,2023
29175,001,00100029175,001000000061475,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29175,001,00100029175,001000000061476,9,Salteña,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29175,001,00100029175,001000000061477,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29176,001,00100029176,001000000061479,2,E. queso,4.0,1.2,0.0,10.0,4.8,,,0.0,,,1.0,,2023
29176,001,00100029176,001000000061480,1,E. POLLO,2.0,1.5,0.0,10.0,3,,,0.0,,,1.0,,2023
29176,001,00100029176,001000000061481,77,Tercio,1.0,1.7,0.0,10.0,1.7,,,0.0,,,1.0,,2023
29176,001,00100029176,001000000061482,50,Agua p.,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29177,001,00100029177,001000000061485,1,E. POLLO,3.0,1.5,0.0,10.0,4.5,,,0.0,,,1.0,,2023
29177,001,00100029177,001000000061486,10254,cuñape,2.0,1.5,0.0,21.0,3,,,0.0,,,1.0,,2023
29177,001,00100029177,001000000061487,2,E. queso,2.0,1.2,0.0,10.0,2.4,,,0.0,,,1.0,,2023
29177,001,00100029177,001000000061488,53,Vaso R.,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2023
29177,001,00100029177,001000000061491,53,Vaso R.,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2023
29177,001,00100029177,001000000061492,31,Panza frita,2.0,3,0.0,10.0,6,,,0.0,,,1.0,,2023
29178,001,00100029178,001000000061493,025885,cafe con leche G,5.0,1.5,0.0,21.0,7.5,,,0.0,,,1.0,,2023
29178,001,00100029178,001000000061494,2,E. queso,3.0,1.2,0.0,10.0,3.6,,,0.0,,,1.0,,2023
29178,001,00100029178,001000000061495,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29178,001,00100029178,001000000061496,2,E. queso,2.0,1.2,0.0,10.0,2.4,,,0.0,,,1.0,,2023
29178,001,00100029178,001000000061497,31,Panza frita,1.0,3,0.0,10.0,3,,,0.0,,,1.0,,2023
29179,001,00100029179,001000000061499,9,Salteña,3.0,2,0.0,10.0,6,,,0.0,,,1.0,,2023
29179,001,00100029179,001000000061500,2,E. queso,3.0,1.2,0.0,10.0,3.6,,,0.0,,,1.0,,2023
29179,001,00100029179,001000000061501,52,Refresco,2.0,1.7,0.0,10.0,3.4,,,0.0,,,1.0,,2023
29178,001,00100029178,001000000061504,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29178,001,00100029178,001000000061505,2,E. queso,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29181,001,00100029181,001000000061512,9,Salteña,2.0,2,0.0,10.0,4,,,0.0,,,1.0,,2023
29181,001,00100029181,001000000061513,3,E. arroz,4.0,1.2,0.0,10.0,4.8,,,0.0,,,1.0,,2023
29181,001,00100029181,001000000061514,1,E. POLLO,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2023
29181,001,00100029181,001000000061515,2,E. queso,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29181,001,00100029181,001000000061516,77,Tercio,1.0,1.7,0.0,10.0,1.7,,,0.0,,,1.0,,2023
29182,001,00100029182,001000000061517,9,Salteña,2.0,2,0.0,10.0,4,,,0.0,,,1.0,,2023
29182,001,00100029182,001000000061518,1,E. POLLO,2.0,1.5,0.0,10.0,3,,,0.0,,,1.0,,2023
29182,001,00100029182,001000000061519,10254,cuñape,1.0,1.5,0.0,21.0,1.5,,,0.0,,,1.0,,2023
29182,001,00100029182,001000000061520,025885,cafe con leche G,2.0,1.5,0.0,21.0,3,,,0.0,,,1.0,,2023
29182,001,00100029182,001000000061521,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29183,001,00100029183,001000000061522,2,E. queso,2.0,1.2,0.0,10.0,2.4,,,0.0,,,1.0,,2023
29183,001,00100029183,001000000061523,10254,cuñape,2.0,1.5,0.0,21.0,3,,,0.0,,,1.0,,2023
29183,001,00100029183,001000000061524,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29183,001,00100029183,001000000061525,36998996,CHOTEL BATIDO,1.0,1.5,0.0,21.0,1.5,,,0.0,,,1.0,,2023
29183,001,00100029183,001000000061526,025885,cafe con leche G,1.0,1.5,0.0,21.0,1.5,,,0.0,,,1.0,,2023
29183,001,00100029183,001000000061527,258771,picante de pollo,1.0,8,0.0,21.0,8,,,0.0,,,1.0,,2023
29183,001,00100029183,001000000061528,35,Cerdo al Horno,1.0,10,0.0,10.0,10,,,0.0,,,1.0,,2023
29183,001,00100029183,001000000061530,99968,Milanesa de ternera,1.0,8,0.0,21.0,8,,,0.0,,,1.0,,2023
29184,001,00100029184,001000000061533,305,Pan,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2023
29185,001,00100029185,001000000061537,53,Vaso R.,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2023
29186,001,00100029186,001000000061538,52,Refresco,1.0,1.7,0.0,10.0,1.7,,,0.0,,,1.0,,2023
29186,001,00100029186,001000000061539,53,Vaso R.,11.0,1,0.0,10.0,11,,,0.0,,,1.0,,2023
29175,001,00100029175,001000000061541,53,Vaso R.,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2023
29180,001,00100029180,001000000061547,32,Sopa de Mani,2.0,6,0.0,10.0,12,,,0.0,,,1.0,,2023
29180,001,00100029180,001000000061548,56,J. Mocochinchi,1.0,4,0.0,21.0,4,,,0.0,,,1.0,,2023
29180,001,00100029180,001000000061549,217,alfajoz,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29187,001,00100029187,001000000061550,9,Salteña,6.0,2,0.0,10.0,12,,,0.0,,,1.0,,2023
29187,001,00100029187,001000000061551,10254,cuñape,2.0,1.5,0.0,21.0,3,,,0.0,,,1.0,,2023
29187,001,00100029187,001000000061552,3,E. arroz,2.0,1.2,0.0,10.0,2.4,,,0.0,,,1.0,,2023
29187,001,00100029187,001000000061553,4,E. maiz,2.0,1.2,0.0,10.0,2.4,,,0.0,,,1.0,,2023
29188,001,00100029188,001000000061554,52,Refresco,2.0,1.7,0.0,10.0,3.4,,,0.0,,,1.0,,2023
29188,001,00100029188,001000000061555,2,E. queso,2.0,1.2,0.0,10.0,2.4,,,0.0,,,1.0,,2023
29188,001,00100029188,001000000061556,1,E. POLLO,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2023
29180,001,00100029180,001000000061558,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29180,001,00100029180,001000000061559,174,Cafe Leche,2.0,1.3,0.0,10.0,2.6,,,0.0,,,1.0,,2023
29189,001,00100029189,001000000061563,30,Asadito yuca,4.0,3,0.0,10.0,12,,,0.0,,,1.0,,2023
29189,001,00100029189,001000000061564,175,Belmonte,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2023
29189,001,00100029189,001000000061565,52,Refresco,1.0,1.7,0.0,10.0,1.7,,,0.0,,,1.0,,2023
29190,001,00100029190,001000000061567,3,E. arroz,2.0,1.2,0.0,10.0,2.4,,,0.0,,,1.0,,2023
29190,001,00100029190,001000000061568,174,Cafe Leche,2.0,1.3,0.0,10.0,2.6,,,0.0,,,1.0,,2023
29191,001,00100029191,001000000061570,1455568,   AMERICANO,1.0,1.2,0.0,21.0,1.2,,,0.0,,,1.0,,2023
29191,001,00100029191,001000000061571,76,Quinto,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29192,001,00100029192,001000000061573,305,Pan,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29192,001,00100029192,001000000061574,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29193,001,00100029193,001000000061576,30,Asadito yuca,1.0,3,0.0,10.0,3,,,0.0,,,1.0,,2023
29193,001,00100029193,001000000061577,56,J. Mocochinchi,1.0,4,0.0,21.0,4,,,0.0,,,1.0,,2023
29193,001,00100029193,001000000061578,32,Sopa de Mani,2.0,6,0.0,10.0,12,,,0.0,,,1.0,,2023
29193,001,00100029193,001000000061579,3,E. arroz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29193,001,00100029193,001000000061580,4,E. maiz,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29193,001,00100029193,001000000061581,9,Salteña,7.0,2,0.0,10.0,14,,,0.0,,,1.0,,2023
29193,001,00100029193,001000000061582,3,E. arroz,5.0,1.2,0.0,10.0,6,,,0.0,,,1.0,,2023
29194,001,00100029194,001000000061583,10254,cuñape,1.0,1.5,0.0,21.0,1.5,,,0.0,,,1.0,,2023
29194,001,00100029194,001000000061584,174,Cafe Leche,1.0,1.3,0.0,10.0,1.3,,,0.0,,,1.0,,2023
29194,001,00100029194,001000000061585,53,Vaso R.,30.0,1,0.0,10.0,30,,,0.0,,,1.0,,2023
29195,001,00100029195,001000000061586,52,Refresco,1.0,1.7,0.0,10.0,1.7,,,0.0,,,1.0,,2023
29195,001,00100029195,001000000061587,53,Vaso R.,4.0,1,0.0,10.0,4,,,0.0,,,1.0,,2023
29196,001,00100029196,001000000061589,174,Cafe Leche,1.0,1.3,0.0,10.0,1.3,,,0.0,,,1.0,,2023
29196,001,00100029196,001000000061590,10254,cuñape,1.0,1.5,0.0,21.0,1.5,,,0.0,,,1.0,,2023
29196,001,00100029196,001000000061591,53,Vaso R.,9.0,1,0.0,10.0,9,,,0.0,,,1.0,,2023
29198,001,00100029198,001000000061607,72,Copa,2.0,1.3,0.0,10.0,2.6,,,0.0,,,1.0,,2023
29198,001,00100029198,001000000061608,66666,TAPAS 4€,1.0,4,0.0,21.0,4,,,0.0,,,1.0,,2023
29198,001,00100029198,001000000061609,144,tapas 2€,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29198,001,00100029198,001000000061610,72,Copa,2.0,1.3,0.0,10.0,2.6,,,0.0,,,1.0,,2023
29198,001,00100029198,001000000061611,9,Salteña,2.0,2,0.0,10.0,4,,,0.0,,,1.0,,2023
29199,001,00100029199,001000000061616,77,Tercio,1.0,1.7,0.0,10.0,1.7,,,0.0,,,1.0,,2023
29200,001,00100029200,001000000061617,305,Pan,16.0,1,0.0,10.0,16,,,0.0,,,1.0,,2023
29201,001,00100029201,001000000061618,305,Pan,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2023
29197,001,00100029197,001000000061620,305,Pan,33.0,1,0.0,10.0,33,,,0.0,,,1.0,,2023
29197,001,00100029197,001000000061621,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29202,001,00100029202,001000000061622,305,Pan,10.0,1,0.0,10.0,10,,,0.0,,,1.0,,2023
29203,001,00100029203,001000000061623,305,Pan,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061637,77,Tercio,2.0,1.7,0.0,10.0,3.4,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061638,140,Calamares Andaluza,1.0,6,0.0,10.0,6,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061639,131,tigre,2.0,2,0.0,10.0,4,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061640,144,tapas 2€,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061641,142,tapas1€,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061642,117,Pique Macho (2),1.0,12,0.0,10.0,12,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061643,91,Copa Rioja,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061645,91,Copa Rioja,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061647,91,Copa Rioja,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061648,76,Quinto,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2023
29205,001,00100029205,001000000061652,9,Salteña,1.0,2,0.0,10.0,2,,,0.0,,,1.0,,2023
29205,001,00100029205,001000000061653,52,Refresco,1.0,1.7,0.0,10.0,1.7,,,0.0,,,1.0,,2023
29205,001,00100029205,001000000061654,32,Sopa de Mani,1.0,6,0.0,10.0,6,,,0.0,,,1.0,,2023
29206,001,00100029206,001000000061655,305,Pan,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2023
29206,001,00100029206,001000000061656,3000,suspiro,1.0,0.5,0.0,10.0,0.5,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061659,175,Belmonte,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2023
29204,001,00100029204,001000000061660,171,solo,1.0,1.1,0.0,10.0,1.1,,,0.0,,,1.0,,2023
29207,001,00100029207,001000000061663,305,Pan,7.0,1,0.0,10.0,7,,,0.0,,,1.0,,2023
29209,001,00100029209,001000000061669,       132,Marinera,1.0,2,0.0,21.0,2,,,,,,,,2023
