NUMERO,CODCAJA,VENDEDOR,CODUSU,FECHA,HORA,DESTIC,HASTIC,DESFAC,HASFAC,EFECTIVO,TARJETA,EFECBANCO,TTIC,TFAC,TTICPEN,DESMOV,HASMOV,TENTRADA,TSALIDA,ANSALDO,SALDO,BASEIMP1,IVA1,IMPIVA1,BASEIMP2,IVA2,IMPIVA2,BASEIMP3,IVA3,IMPIVA3,BASEIMP4,IVA4,IMPIVA4,COMENSALES,IMRECUENTO,CONTABILIZ,year_file
1,001,1,2,2020-06-01,16:57:30,1,20,0,0,142.5,0,0,142.5,0,0,0,0,0,0,0,142.5,0,21.0,0,115.04,10.0,11.46,0,4.0,0,16,0.0,0,0,0,False,2020
2,001,1,2,2020-06-08,11:41:46,21,48,0,0,221.7,0,0,221.7,0,0,0,0,0,0,136.5,358.2,0,21.0,0,201.52,10.0,20.18,0,4.0,0,0,0.0,0,0,0,False,2020
3,001,1,2,2020-06-08,11:46:23,49,49,0,0,10,0,0,10,0,0,0,0,0,0,358.2,368.2,0,21.0,0,9.09,10.0,0.91,0,4.0,0,0,0.0,0,0,0,False,2020
4,001,1,2,2020-06-09,10:10:43,50,53,0,0,22.5,0,0,22.5,0,0,0,0,0,0,368.2,390.7,0,21.0,0,20.46,10.0,2.04,0,4.0,0,0,0.0,0,0,0,False,2020
5,001,1,2,2020-06-09,10:16:41,54,56,0,0,52.5,0,0,52.5,0,0,0,0,0,0,390.7,443.2,0,21.0,0,47.73,10.0,4.77,0,4.0,0,0,0.0,0,0,0,False,2020
6,001,1,2,2020-06-10,16:21:41,57,62,0,0,98,0,0,98,0,0,0,0,0,0,443.2,541.2,2.48,21.0,0.52,86.36,10.0,8.64,0,4.0,0,0,0.0,0,0,0,False,2020
7,001,1,2,2020-06-21,20:50:18,63,93,0,0,111,0,0,111,0,0,0,0,0,0,541.2,652.2,0,21.0,0,100.94,10.0,10.06,0,4.0,0,0,0.0,0,0,0,False,2020
8,001,1,2,2020-06-22,22:46:19,94,114,0,0,150.3,0,0,150.3,0,0,0,0,0,0,652.2,802.5,0,21.0,0,136.64,10.0,13.66,0,4.0,0,0,0.0,0,0,0,False,2020
9,001,1,2,2020-06-23,23:40:54,115,144,0,0,165.6,0,0,165.6,0,0,0,0,0,0,802.5,968.1,0,21.0,0,150.54,10.0,15.06,0,4.0,0,0,0.0,0,0,0,False,2020
10,001,1,2,2020-06-24,22:12:25,145,194,0,0,226.4,0,0,226.4,0,0,0,0,0,0,968.1,1194.5,0.83,21.0,0.17,204.91,10.0,20.49,0,4.0,0,0,0.0,0,0,0,False,2020
11,001,1,2,2020-06-26,00:04:26,195,226,0,0,177.7,0,0,177.7,0,0,0,0,0,0,1194.5,1372.2,0,21.0,0,161.58,10.0,16.12,0,4.0,0,0,0.0,0,0,0,False,2020
