NUMERO,CODCAJA,VENDEDOR,CODUSU,FECHA,HORA,DESTIC,HASTIC,DESFAC,HASFAC,EFECTIVO,TARJETA,EFECBANCO,TTIC,TFAC,TTICPEN,DESMOV,HASMOV,TENTRADA,TSALIDA,ANSALDO,SALDO,BASEIMP1,IVA1,IMPIVA1,BASEIMP2,IVA2,IMPIVA2,BASEIMP3,IVA3,IMPIVA3,BASEIMP4,IVA4,IMPIVA4,COMENSALES,IMRECUENTO,CONTABILIZ,year_file
1,001,1,2,2022-01-04,17:09:45,17919,17930,0,0,10.2,76.7,0,86.9,0,0,0,0,0,0,76113.73,76123.93,1.24,21.0,0.26,77.64,10.0,7.76,0,4.0,0,0,0.0,0,0,0,False,2022
2,001,1,2,2022-01-05,18:02:33,17931,17947,0,0,23.4,33.4,0,56.8,0,0,0,0,0,0,76123.93,76147.33,0,21.0,0,51.67,10.0,5.13,0,4.0,0,0,0.0,0,0,0,False,2022
3,001,1,2,2022-01-06,17:03:49,17948,17958,0,0,19,56,0,75,0,0,0,0,0,0,76147.33,76166.33,0,21.0,0,68.19,10.0,6.81,0,4.0,0,0,0.0,0,0,0,False,2022
4,001,1,2,2022-01-07,16:16:57,17959,17978,0,0,40,50,0,90,0,0,0,0,0,0,76166.33,76206.33,0,21.0,0,81.84,10.0,8.16,0,4.0,0,0,0.0,0,0,0,False,2022
5,001,1,2,2022-01-08,18:58:52,17979,18012,0,0,79.3,37.2,0,116.5,0,0,0,0,0,0,76206.33,76285.63,0,21.0,0,105.96,10.0,10.54,0,4.0,0,0,0.0,0,0,0,False,2022
6,001,1,2,2022-01-09,16:48:07,18013,18087,0,0,545.6,36.6,0,582.2,0,0,0,0,0,0,76285.63,76831.23,20.83,21.0,4.37,506.42,10.0,50.58,0,4.0,0,0,0.0,0,0,0,False,2022
7,001,1,2,2022-01-09,17:15:00,18088,18088,0,0,5,0,0,5,0,0,0,0,0,0,76831.23,76836.23,0,21.0,0,4.55,10.0,0.45,0,4.0,0,0,0.0,0,0,0,False,2022
8,001,1,2,2022-01-10,17:18:29,18089,18120,0,0,71.2,17.5,0,88.7,0,0,0,0,0,0,76836.23,76907.43,0,21.0,0,80.62,10.0,8.08,0,4.0,0,0,0.0,0,0,0,False,2022
9,001,1,2,2022-01-11,21:27:41,18121,18163,0,0,65,98.1,0,163.1,0,0,0,0,0,0,76907.43,76972.43,0,21.0,0,148.28,10.0,14.82,0,4.0,0,0,0.0,0,0,0,False,2022
10,001,1,2,2022-01-12,16:55:05,18164,18201,0,0,52.2,62.2,0,114.4,0,0,0,0,0,0,76972.43,77024.63,0,21.0,0,104,10.0,10.4,0,4.0,0,0,0.0,0,0,0,False,2022
11,001,1,2,2022-01-13,16:49:27,18202,18231,0,0,44.9,20.2,0,65.1,0,0,0,0,0,0,77024.63,77069.53,0,21.0,0,59.16,10.0,5.94,0,4.0,0,0,0.0,0,0,0,False,2022
12,001,1,2,2022-01-14,16:35:47,18232,18267,0,0,52.2,35.5,0,87.7,0,0,0,0,0,0,77069.53,77121.73,0,21.0,0,79.72,10.0,7.98,0,4.0,0,0,0.0,0,0,0,False,2022
