NUMTIC,CAJA,NUMCAJ,CAJLINEA,CODIGO,DESCRI,CANTIDAD,PRECIO,DTO,IVA,TOTLIN,COCINA,NOTAS,CANTSTOCK,TIPOLIN,CODCOMBI,COMCANSTK,CANCOCINA,year_file
17919,001,00100017919,001000000034077,2,E. queso,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2022
17920,001,00100017920,001000000034081,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17920,001,00100017920,001000000034082,177,Colacao,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2022
17921,001,00100017921,001000000034085,1,E. POLLO,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2022
17922,001,00100017922,001000000034088,3,E. arroz,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17922,001,00100017922,001000000034089,53,Vaso R.,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17922,001,00100017922,001000000034090,52,Refresco,1.0,1.7,0.0,10.0,1.7,,,0.0,,,1.0,,2022
17922,001,00100017922,001000000034091,30,Asadito yuca,2.0,2.5,0.0,10.0,5,,,0.0,,,1.0,,2022
17923,001,00100017923,001000000034092,9,Salteña,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2022
17923,001,00100017923,001000000034093,1,E. POLLO,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2022
17924,001,00100017924,001000000034094,172,Cortado/Manchado,1.0,1.2,0.0,10.0,1.2,,,0.0,,,1.0,,2022
17925,001,00100017925,001000000034095,9,Salteña,1.0,1.5,0.0,10.0,1.5,,,0.0,,,1.0,,2022
17926,001,00100017926,001000000034096,1,E. POLLO,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2022
17926,001,00100017926,001000000034097,30,Asadito yuca,2.0,2.5,0.0,10.0,5,,,0.0,,,1.0,,2022
17926,001,00100017926,001000000034098,53,Vaso R.,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2022
17927,001,00100017927,001000000034099,9968878,salchicha portachulena,1.0,1.5,0.0,21.0,1.5,,,0.0,,,1.0,,2022
17927,001,00100017927,001000000034103,1,E. POLLO,4.0,1,0.0,10.0,4,,,0.0,,,1.0,,2022
17928,001,00100017928,001000000034105,3,E. arroz,6.0,1,0.0,10.0,6,,,0.0,,,1.0,,2022
17928,001,00100017928,001000000034106,2,E. queso,10.0,1,0.0,10.0,10,,,0.0,,,1.0,,2022
17928,001,00100017928,001000000034107,3000,suspiro,3.0,0.5,0.0,10.0,1.5,,,0.0,,,1.0,,2022
17929,001,00100017929,001000000034110,78,Litro,1.0,3,0.0,10.0,3,,,0.0,,,1.0,,2022
17929,001,00100017929,001000000034111,130,Caballitos,2.0,1.5,0.0,10.0,3,,,0.0,,,1.0,,2022
17929,001,00100017929,001000000034112,131,tigre,2.0,1.5,0.0,10.0,3,,,0.0,,,1.0,,2022
17929,001,00100017929,001000000034113,39,plato combinado,1.0,5,0.0,10.0,5,,,0.0,,,1.0,,2022
17929,001,00100017929,001000000034116,175,Belmonte,2.0,1.5,0.0,10.0,3,,,0.0,,,1.0,,2022
17931,001,00100017931,001000000034122,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17932,001,00100017932,001000000034123,1,E. POLLO,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2022
17933,001,00100017933,001000000034124,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17934,001,00100017934,001000000034125,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17935,001,00100017935,001000000034126,1,E. POLLO,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2022
17936,001,00100017936,001000000034127,1,E. POLLO,3.0,1,0.0,10.0,3,,,0.0,,,1.0,,2022
17937,001,00100017937,001000000034128,1,E. POLLO,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2022
17938,001,00100017938,001000000034129,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17939,001,00100017939,001000000034130,52,Refresco,2.0,1.7,0.0,10.0,3.4,,,0.0,,,1.0,,2022
17939,001,00100017939,001000000034133,53,Vaso R.,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17939,001,00100017939,001000000034134,2,E. queso,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2022
17939,001,00100017939,001000000034135,3,E. arroz,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17940,001,00100017940,001000000034136,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17941,001,00100017941,001000000034137,1,E. POLLO,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2022
17942,001,00100017942,001000000034138,1,E. POLLO,3.0,1,0.0,10.0,3,,,0.0,,,1.0,,2022
17943,001,00100017943,001000000034139,1,E. POLLO,5.0,1,0.0,10.0,5,,,0.0,,,1.0,,2022
17944,001,00100017944,001000000034140,1,E. POLLO,3.0,1,0.0,10.0,3,,,0.0,,,1.0,,2022
17945,001,00100017945,001000000034141,1,E. POLLO,2.0,1,0.0,10.0,2,,,0.0,,,1.0,,2022
17946,001,00100017946,001000000034143,52,Refresco,2.0,1.7,0.0,10.0,3.4,,,0.0,,,1.0,,2022
17946,001,00100017946,001000000034144,1,E. POLLO,1.0,1,0.0,10.0,1,,,0.0,,,1.0,,2022
17947,001,00100017947,001000000034145,1,E. POLLO,16.0,1,0.0,10.0,16,,,0.0,,,1.0,,2022
